rank,address,lit,kind,entity,category,net_24h,net_7d,net_30d
1,0xe554dcb002e4f3546d67e6deed84323eed989d62,234261292.00000003,wallet,,,0.00000000,0.00000000,0.00000000
2,0x3b4d794a66304f130a4db8f2551b0070dfcf5ca7,158806937.99626723,bridge,,,1694915.41571241,85875.85507060,-4493431.13886242
3,0xa9f5beb22c396ab05552fce0fe8b4335875e44e8,58917589.00000001,wallet,,,0.00000000,0.00000000,0.00000000
4,0x47fa2aaa7acd628a1e72683cdb3c4d7fc9fab2d6,51218199.00000000,wallet,,,0.00000000,0.00000000,0.00000000
5,0xe5fd7437d0ee86b4789a9f489ed0670b0966fa59,42386227.00000000,wallet,,,0.00000000,0.00000000,0.00000000
6,0xb3058a7f08df0e252bfc012ec44314ee827019e4,36116444.00000000,wallet,,,0.00000000,0.00000000,0.00000000
7,0x1aab61267a3b58af8102dc9f58e0abb18e24b04c,23370369.00000000,wallet,,,0.00000000,0.00000000,0.00000000
8,0x72b23aebbd4abfc1cea755686710e74c93696fae,18333137.00000000,wallet,,,0.00000000,0.00000000,0.00000000
9,0x000000000000000000000000000000000000dead,15638703.00000000,burn,,,0.00000000,0.00000000,0.00000000
10,0x1a51016fad47de690d1f48adf2f6407f3cdc160d,12609965.50000000,wallet,,,0.00000000,-125000.00000000,-2288727.50000000
11,0xcb8e76416f4a2511a6d01e879c48c92b4acfaa17,10241749.00000000,wallet,,,0.00000000,0.00000000,0.00000000
12,0x208f02624dc2973e9a05089b3c76abed676dbeee,10000000.00000000,wallet,,,0.00000000,0.00000000,0.00000000
13,0xf38dfc3c6d5c54d7023bf25c6cb41c5b726fc8d0,10000000.00000000,wallet,,,0.00000000,0.00000000,0.00000000
14,0x83c8aadccbd9ca276a3006b5136450bceac4456f,10000000.00000000,wallet,,,0.00000000,0.00000000,0.00000000
15,0x74ce0b0c50e681caff76be4bb9249e64f364eb3d,10000000.00000000,wallet,,,0.00000000,0.00000000,0.00000000
16,0x0df848fb2e5ac5a7569c4e9f9f0ec66927b27371,10000000.00000000,wallet,,,0.00000000,0.00000000,0.00000000
17,0xa3d937a36a63ae36ff4b248a28d8fc8931ecb1c3,10000000.00000000,wallet,,,0.00000000,0.00000000,0.00000000
18,0x1833dc049ff934763f855ddba465b059922927af,9900983.00000000,wallet,,,0.00000000,0.00000000,0.00000000
19,0x8cc5dafdd4cfd7636b1b9c05fd0899a48d6274eb,8841576.00000000,wallet,,,0.00000000,0.00000000,0.00000000
20,0xbc5bb15911aa50b1ef32581c1973c0f4dd23d224,8147550.00000000,wallet,,,0.00000000,0.00000000,0.00000000
21,0x763bea76b89cbb89a52bf010f7732142676e38dd,7364699.00000000,wallet,,,0.00000000,0.00000000,0.00000000
22,0x5ee84d30c7ee57f63f71c92247ff31f95e26916b,7360470.98728630,wallet,,,0.00000000,0.00000000,-253385.57908939
23,0xfa2d7c3767b08087db725fee6661ef0c114fea2c,6878042.54633107,wallet,,,0.00000000,-21887.89624343,5660331.10670696
24,0x35fb1dbc43277519dd42b36f3fd047bcf3aa0a3a,6316191.00000000,wallet,,,0.00000000,0.00000000,0.00000000
25,0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,6216251.91077040,wallet,okx,Centralized Exchange,311938.79095111,622012.62325513,329797.03106834
26,0xf70c9547ca5016797d7fd9623320d653e82d83a5,5690879.00000000,wallet,,,0.00000000,0.00000000,0.00000000
27,0x36f41e60057e2b16f165b331595c15df999c8247,5521586.00000000,wallet,,,0.00000000,0.00000000,0.00000000
28,0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,5424358.12909550,wallet,okx,Centralized Exchange,-402940.00650000,-16269.81135275,-163645.86009371
29,0x3c12dbfbf9d654d61a820b5a80d98e63fab9ee51,5072859.00000000,wallet,,,0.00000000,0.00000000,0.00000000
30,0x83bf2fabcf50495ff344f55c91d3026a564dc44b,4878681.00000000,wallet,,,0.00000000,0.00000000,0.00000000
31,0x73781209f3b0f195d0d3fa9d6b95bb61c54c1ca6,4741109.99860955,wallet,,,0.00000000,0.00000000,201399.43274791
32,0x63f0daee00b61505c9adc3138f59b4d13158b088,4684331.00000000,wallet,,,0.00000000,0.00000000,0.00000000
33,0xdeb3524810d76429fac0e367986fdc0f8e3e88e2,4526776.00000000,wallet,,,0.00000000,0.00000000,0.00000000
34,0xb829e684df8e31b402a4d4aedf3bbc18a52e7589,4500001.00000000,wallet,,,0.00000000,0.00000000,4500001.00000000
35,0xab04909dfe42c513b7e8ebbb75291c2968221de9,4489983.00000000,wallet,,,0.00000000,0.00000000,0.00000000
36,0x8688d08cda043ad9243c3e0a115ea4607aa136a4,4434887.00000000,wallet,,,0.00000000,0.00000000,0.00000000
37,0xe9e24a80b12946fc0731d808999ea1bbd47cda0a,4408086.00000000,wallet,,,0.00000000,0.00000000,0.00000000
38,0x1a3819f109cf98b6a057a9464be2cc0f4b0e361f,4400289.00000000,wallet,,,0.00000000,0.00000000,0.00000000
39,0xba3015e1c0e1a75c92b1b73197cd20fd5689bc9a,4398776.00000000,wallet,,,0.00000000,0.00000000,0.00000000
40,0x6d469a15045417693ee8bcd3d0baa9bcba686bd1,4372642.00000000,wallet,,,0.00000000,0.00000000,0.00000000
41,0xd0c0dc5636e6c6e2b2da37b0e2ce56c96f64cdb6,4141190.00000000,wallet,,,0.00000000,0.00000000,0.00000000
42,0x699510cdaa13b533b5603a3f0d49d22a5022a968,4141190.00000000,wallet,,,0.00000000,0.00000000,0.00000000
43,0x841ed663f2636863d40be4ee76243377dff13a34,4030358.30691432,wallet,robinhood,Centralized Exchange,2717.52400000,255434.15073586,1128352.56474828
44,0x1190cea3e2c8727218768bfb990c3228aa06dfa9,3659656.00000000,wallet,,,0.00000000,0.00000000,0.00000000
45,0x57a71f8db4e5ae0e08d4def0db3848af2df829e3,3576141.00000000,wallet,,,0.00000000,0.00000000,0.00000000
46,0xc77437bd005d37a32a9cc765c0f72c7f713a3b50,3450986.00000000,wallet,,,0.00000000,0.00000000,0.00000000
47,0x09293146f266e8abc4b9914ba57567f3ecbd23d3,3142271.00000000,wallet,,,0.00000000,0.00000000,0.00000000
48,0x1b0ba7c90914e327163b817685a9b99ae8b30b06,3102993.00000000,wallet,,,0.00000000,0.00000000,0.00000000
49,0x260b364fe0d3d37e6fd3cda0fa50926a06c54cea,3010382.96037893,wallet,bybit,Centralized Exchange,-267817.33428072,868005.07585865,3010382.96037893
50,0xf89d7b9c864f589bbf53a82105107622b35eaa40,2993082.15762007,wallet,bybit,Centralized Exchange,-284319.76219381,-667795.77718247,-7964737.00157287
51,0x33ae48dbfe0a818635ba6e84e1ae03477ce1b971,2876995.00000000,wallet,,,0.00000000,0.00000000,0.00000000
52,0xdd86b9e81bfc27ff2bd021cefcbd9b4a14a7c2aa,2780776.00000000,wallet,,,0.00000000,0.00000000,0.00000000
53,0x0dfe1180b81f3c8aa3743eae7cbfb26ad9f7e4f4,2612131.00000000,wallet,,,0.00000000,0.00000000,0.00000000
54,0xef4268e5b09562122ab3aa747078c7ee601773c0,2206611.00000000,wallet,,,0.00000000,0.00000000,0.00000000
55,0x069a1c829c2fe9d5a5c0bc1cc64cc0aae29ed04d,2184958.00000000,wallet,,,0.00000000,0.00000000,0.00000000
56,0xb135faa59ab685f3c70765f66956ac1cb276f7ae,1945426.50097983,wallet,,,-87141.86819523,-103903.30841203,1319861.97165362
57,0x3aec3e54dd1ab2d30be6c020cfd5e080bc07437d,1885363.00000000,wallet,,,0.00000000,0.00000000,0.00000000
58,0x40d20c794a4f3ed5ee45e65d3e1c4b9a23c60ecc,1882090.00000000,wallet,,,0.00000000,0.00000000,0.00000000
59,0x4350e9ca17724aacc15ac1e21aacfcb52e808184,1873137.00000000,wallet,,,0.00000000,0.00000000,0.00000000
60,0x543dc3006988352f0e3917d86004953189665ad1,1865724.00000000,wallet,,,0.00000000,0.00000000,0.00000000
61,0x826e6786e58dad1c0eb08292cda82dd7e7cb7b1c,1534318.21019795,wallet,,,0.00000000,0.00000000,0.00000000
62,0x20e732d4330d9857be69f3b539958e0d7b441bcc,1497358.32304959,wallet,,,0.00000000,0.00000000,0.00000000
63,0xa7ab22be1cc8f9075afcbd9f695dec61071ef596,1472940.00000000,wallet,,,0.00000000,0.00000000,0.00000000
64,0x4424237c9d0a233c7f7921ed339ed13cd0ec71fc,1380387.00000000,wallet,,,0.00000000,0.00000000,0.00000000
65,0xb22d8af3e2ead3f7d6a8ebe45701aed035aedc8b,1366732.39932200,wallet,,,0.00000000,0.00000000,17369.30000000
66,0xb4ad5d109dde0c01f652184778059acd0036f2da,1333325.00000000,wallet,,,0.00000000,0.00000000,0.00000000
67,0xdbe8d8b418a8db8c72f05abcd450cc7c38116171,1333325.00000000,wallet,,,0.00000000,0.00000000,0.00000000
68,0x3c9df24f248ff949161a5a43bbf6dd69378d7799,1294490.23928231,wallet,okx,Centralized Exchange,-5661.38000000,60967.50000000,365387.37738850
69,0x97c99466a4a58123d41957bf333740699c786dc1,1268215.00000000,wallet,,,0.00000000,0.00000000,0.00000000
70,0xfde998369e2a0e7855198e915775603f17eb096b,1244058.00000000,wallet,,,0.00000000,0.00000000,0.00000000
71,0x6287316f7e7715914e5d42c95e8d237f559f05b8,1242356.00000000,wallet,,,0.00000000,0.00000000,0.00000000
72,0xe3f235f6e8fe414ca774bb72aab3df963d660c5d,1188000.00004770,wallet,,,0.00000000,0.00000000,0.00000000
73,0xc52a907e34c62c2bcb10fd85c3b9e7a40d31cb84,1178352.00000000,wallet,,,0.00000000,0.00000000,0.00000000
74,0x75a779eafe449281a66a553d6a3f97dd6f0ae8aa,1099795.00000000,wallet,,,0.00000000,0.00000000,0.00000000
75,0x419e1e9b736a21bc3e23b66585eea618bf13f457,981960.00000000,wallet,,,0.00000000,0.00000000,0.00000000
76,0x7c47645449a8e694ffbbc5df2cc3576ee80fc775,981960.00000000,wallet,,,0.00000000,0.00000000,0.00000000
77,0x6adc6ed084a1cdbcc571d98a1b34076151442c34,980791.00000000,wallet,,,0.00000000,0.00000000,0.00000000
78,0xbcda26b7c6fe36b4f97c21a57807817b06e15c77,965604.16044469,wallet,,,0.00000000,0.00000000,965604.16044469
79,0x88aaf7d5ab1adb00acb1ea4e292ba57bd40e4f3f,962704.00000000,wallet,,,0.00000000,0.00000000,0.00000000
